"id","coordenadasUbicacion","descripcion","historia","nombre","periodoActualizacion","Fecha Ultima Actualizacion","Vinos"
"b11","42.876523","Esta bodega situada en la región de Borgoña, Francia, es conocida por sus exclusivos vinos Pinot Noir y Chardonnay.","Fundada en 1880 por Jules Lavatine, esta bodega ha pasado por cuatro generaciones familiares, siempre manteniendo la tradición y calidad de sus vinos.","Château Lavatine",5,"14/05/2023",[v21;v22]
"b12","36.778259","Conocida por sus innovadores métodos de vinificación y su compromiso con la sostenibilidad, esta bodega californiana destaca en el Valle de Napa.","Establecida en 1976 por Robert Mondavi, esta bodega ha sido pionera en la producción de vinos de calidad en California, especialmente con su Cabernet Sauvignon y Chardonnay.","Robert Mondavi Winery",7,"20/08/2023",[v23]
"b13","45.803755","Ubicada en la región de Piamonte, Italia, esta bodega es famosa por sus vinos Barolo y Barbaresco, hechos de la variedad Nebbiolo.","Desde 1896, la familia Marchesi di Barolo ha cultivado sus viñedos en las colinas de Langhe, produciendo vinos que reflejan el terroir único de la región.","Marchesi di Barolo",6,"03/01/2024",[v24;v25;v26]
"b14","34.925601","Esta bodega chilena, ubicada en el Valle de Colchagua, es reconocida por sus vinos Carmenere y Cabernet Sauvignon.","Casa Lapostolle fue fundada en 1994 por la familia Marnier Lapostolle y desde entonces ha ganado reconocimiento internacional por su dedicación a la calidad y la innovación en viticultura.","Casa Lapostolle",4,"18/01/2023",[v27]
"b15","-33.869904","Bodega australiana que combina técnicas tradicionales con modernas para crear vinos Shiraz y Cabernet Sauvignon de alta calidad.","Penfolds, fundada en 1844, es una de las bodegas más antiguas y prestigiosas de Australia, famosa por su vino insignia, Penfolds Grange.","Penfolds",8,"12/02/2024",[v28;v29]
"b16","41.385064","Situada en la región de Cataluña, esta bodega se destaca por sus Cavas y vinos tintos de alta gama.","Codorníu, con más de 450 años de historia, es una de las bodegas más antiguas de España y un referente en la producción de vinos espumosos de calidad.","Codorníu",5,"27/12/2022",[v30]
"b17","38.736946","Bodega portuguesa ubicada en el Valle del Duero, reconocida por sus vinos de Oporto y Douro de alta calidad.","Desde 1880, Sandeman ha sido un nombre sinónimo de excelencia en vinos de Oporto, combinando tradición con innovación para crear vinos únicos y apreciados en todo el mundo.","Sandeman",6,"30/03/2024",[v31;v32]
"b18","40.712776","Esta bodega estadounidense, ubicada en el estado de Nueva York, es famosa por sus vinos Riesling y Cabernet Franc.","Dr. Konstantin Frank Wine Cellars, fundada en 1962, revolucionó la viticultura en la región de Finger Lakes al introducir variedades de uva europeas que prosperan en el clima frío.","Dr. Konstantin Frank",4,"08/02/2023",[v33]
"b19","-34.603684","Bodega uruguaya conocida por su vino Tannat, con una fuerte tradición familiar y un enfoque en la calidad y la autenticidad.","Bodega Garzón, establecida en 2014, ha sido rápidamente reconocida por sus vinos excepcionales y su enfoque en la sostenibilidad y el respeto por el medio ambiente.","Bodega Garzón",7,"22/05/2024",[v34]
"b20","41.902783","Ubicada en la región de Toscana, Italia, esta bodega produce algunos de los mejores vinos Chianti y Super Tuscans.","Antinori, una familia con más de 600 años de historia en la vinificación, ha sido un pionero en la creación de vinos innovadores y de alta calidad en la región de Toscana.","Antinori",5,"17/04/2024",[v35;v36;v37]
